position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count
2_0	152605961465739_693550860704577	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Alex Alvarez Monteoliva updated the group photo in Lobreños del mundo."	2014-04-22T09:30:55+0000	693557600703903	31f4f989c7b8c329d8648f16a78a2ea78054fd9c	0	"Bonito pueblo"	2014-04-22T09:56:48+0000	0
2_1	152605961465739_693550860704577	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Alex Alvarez Monteoliva updated the group photo in Lobreños del mundo."	2014-04-22T09:30:55+0000	693577067368623	97cc8ecc395d1a6913751fa2aa2ab695164b5798	0	"Muy bonito"	2014-04-22T11:04:48+0000	0
2_2	152605961465739_693550860704577	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Alex Alvarez Monteoliva updated the group photo in Lobreños del mundo."	2014-04-22T09:30:55+0000	693792590680404	c6f94f0812d33de3a837c6963e6fdeeafa6ee45e	0	"Una de las mejores fotos de nuestro pueblo"	2014-04-22T18:48:26+0000	1
2_3	152605961465739_693550860704577	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Alex Alvarez Monteoliva updated the group photo in Lobreños del mundo."	2014-04-22T09:30:55+0000	693893137337016	64d44557a305d6c6262dfe5d63b73508f7023732	0	"Una foto mui bien echa!!"	2014-04-22T20:01:50+0000	0
2_4	152605961465739_693550860704577	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Alex Alvarez Monteoliva updated the group photo in Lobreños del mundo."	2014-04-22T09:30:55+0000	772292912830371	59e6c9f6f1cd8a1f84060b6c33590229a80e4d8e	0	"donde es?"	2014-09-10T20:58:55+0000	0
2_5	152605961465739_693550860704577	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Alex Alvarez Monteoliva updated the group photo in Lobreños del mundo."	2014-04-22T09:30:55+0000	772293622830300	c6f94f0812d33de3a837c6963e6fdeeafa6ee45e	0	"Un pueblo de la alpujarra Lobras"	2014-09-10T21:00:52+0000	1
2_6	152605961465739_693550860704577	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Alex Alvarez Monteoliva updated the group photo in Lobreños del mundo."	2014-04-22T09:30:55+0000	772901652769497	5f2ce636add4c4b45a9ae895fdd2cdef91262fe4	0	"um pueblo tranquilo. besos"	2014-09-12T04:08:18+0000	1
2_7	152605961465739_693550860704577	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Alex Alvarez Monteoliva updated the group photo in Lobreños del mundo."	2014-04-22T09:30:55+0000	772901942769468	59e6c9f6f1cd8a1f84060b6c33590229a80e4d8e	0	"se ve muy lindo con tranquilidad"	2014-09-12T04:10:03+0000	1
2_8	152605961465739_693550860704577	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Alex Alvarez Monteoliva updated the group photo in Lobreños del mundo."	2014-04-22T09:30:55+0000	1410036519056004	38aa15de627ec848163a33b05e9623707ccecd0b	0	"Preciosa foto!!!"	2017-03-30T20:32:22+0000	0
2_9	152605961465739_693550860704577	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Alex Alvarez Monteoliva updated the group photo in Lobreños del mundo."	2014-04-22T09:30:55+0000	1410100682382921	949ea26be686a6a785a55d3d3f6d7fd39e694553	0	"Bonita foto"	2017-03-30T22:12:30+0000	0
8_0	152605961465739_1354920641234259	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2017-02-05T07:28:19+0000	1363607240365599	d2a4af46ea6ca97f630c3b9ea2e46b7e9bdb2d3b	0	"Que bonito, pero me parece que es un poco pronto"	2017-02-14T21:13:29+0000	0
14_0	152605961465739_1203013166425008	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-13T06:11:38+0000	1203102379749420	c6f94f0812d33de3a837c6963e6fdeeafa6ee45e	0	"Que bonito y acogedor es mi pueblo"	2016-09-13T09:26:34+0000	0
14_1	152605961465739_1203013166425008	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-13T06:11:38+0000	1203436293049362	31f4f989c7b8c329d8648f16a78a2ea78054fd9c	0	"Muy bonito"	2016-09-13T16:32:55+0000	0
14_2	152605961465739_1203013166425008	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-13T06:11:38+0000	1272720779454246	466df5e554ee08d392352a274a1b5ccb13715d2d	0	"Muy cuidado tu pueblo"	2016-11-26T08:23:22+0000	0
14_3	152605961465739_1203013166425008	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-13T06:11:38+0000	1272758662783791	d5f04ade1fe7e0f7656817b6fe69be5600ae7713	0	Precioso	2016-11-26T08:48:46+0000	0
17_0	152605961465739_1219338371459154	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-30T17:05:49+0000	1219461248113533	3745b8d6c63a202b4dd8e3ed3a29c2fa35dc1734	1	"Poca cosa"	2016-09-30T19:52:37+0000	1
17_1	152605961465739_1219338371459154	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-30T17:05:49+0000	1219369131456078	31f4f989c7b8c329d8648f16a78a2ea78054fd9c	0	"Esta lloviendo ?"	2016-09-30T17:54:20+0000	0
17_2	152605961465739_1219338371459154	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-30T17:05:49+0000	1219470601445931	31f4f989c7b8c329d8648f16a78a2ea78054fd9c	0	"Pues aquí ni gota"	2016-09-30T20:10:56+0000	0
21_0	152605961465739_1202440646482260	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-12T15:26:42+0000	1202524406473884	31f4f989c7b8c329d8648f16a78a2ea78054fd9c	0	"Que bonito es mi pueblo . Y sobre todo mi barrio ."	2016-09-12T17:10:53+0000	1
21_1	152605961465739_1202440646482260	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-12T15:26:42+0000	1202672183125773	739f5bb7b8c95419ae9768c29372d786ff5dc27d	0		2016-09-12T20:35:21+0000	0
21_2	152605961465739_1202440646482260	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-12T15:26:42+0000	1202672203125771	739f5bb7b8c95419ae9768c29372d786ff5dc27d	0		2016-09-12T20:35:23+0000	0
21_3	152605961465739_1202440646482260	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-12T15:26:42+0000	1202672223125769	739f5bb7b8c95419ae9768c29372d786ff5dc27d	0		2016-09-12T20:35:25+0000	0
21_4	152605961465739_1202440646482260	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-12T15:26:42+0000	1202672249792433	739f5bb7b8c95419ae9768c29372d786ff5dc27d	0		2016-09-12T20:35:28+0000	0
21_5	152605961465739_1202440646482260	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-12T15:26:42+0000	1202672303125761	739f5bb7b8c95419ae9768c29372d786ff5dc27d	0		2016-09-12T20:35:35+0000	0
21_6	152605961465739_1202440646482260	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-12T15:26:42+0000	1202672329792425	739f5bb7b8c95419ae9768c29372d786ff5dc27d	0		2016-09-12T20:35:36+0000	0
21_7	152605961465739_1202440646482260	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-12T15:26:42+0000	1202672339792424	739f5bb7b8c95419ae9768c29372d786ff5dc27d	0		2016-09-12T20:35:38+0000	0
21_8	152605961465739_1202440646482260	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-12T15:26:42+0000	1202672363125755	739f5bb7b8c95419ae9768c29372d786ff5dc27d	0		2016-09-12T20:35:41+0000	0
21_9	152605961465739_1202440646482260	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-09-12T15:26:42+0000	1202672383125753	739f5bb7b8c95419ae9768c29372d786ff5dc27d	0		2016-09-12T20:35:43+0000	0
24_0	152605961465739_1197649236961401	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Espero que las disfrutéis! :)"	2016-09-07T18:04:56+0000	1197729246953400	9cfb78ecde09e3550507aba0189de48d137c52bf	1	"gracias tita!!"	2016-09-07T19:55:31+0000	0
24_1	152605961465739_1197649236961401	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Espero que las disfrutéis! :)"	2016-09-07T18:04:56+0000	1197727250286933	c6f94f0812d33de3a837c6963e6fdeeafa6ee45e	0	"Que bonitas"	2016-09-07T19:51:29+0000	1
24_2	152605961465739_1197649236961401	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Espero que las disfrutéis! :)"	2016-09-07T18:04:56+0000	1197751683617823	c6f94f0812d33de3a837c6963e6fdeeafa6ee45e	1	"Ana te he echado de menos por Lobras, estas mala, o estabas de vacaciones?"	2016-09-07T20:27:59+0000	0
24_3	152605961465739_1197649236961401	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Espero que las disfrutéis! :)"	2016-09-07T18:04:56+0000	1197749743618017	38aa15de627ec848163a33b05e9623707ccecd0b	0	"Preciosas fotos!!!"	2016-09-07T20:23:40+0000	1
24_4	152605961465739_1197649236961401	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Espero que las disfrutéis! :)"	2016-09-07T18:04:56+0000	1198306090229049	9cfb78ecde09e3550507aba0189de48d137c52bf	1	"Muchas gracias Hilario!! 😉Soy todavía muy muy amateur! Jajaja"	2016-09-08T11:01:25+0000	0
24_5	152605961465739_1197649236961401	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Espero que las disfrutéis! :)"	2016-09-07T18:04:56+0000	1198250860234572	b7e31d255c0de73fd6b14f065557bf6064f6eb22	0	"Están muy bien! Y eso que los fuegos artificiales tienen su dificultad..."	2016-09-08T09:31:55+0000	1
26_0	152605961465739_1186052564787735	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-08-26T18:26:27+0000	1186055958120729	31f4f989c7b8c329d8648f16a78a2ea78054fd9c	0	"Mandar audio o vídeo"	2016-08-26T18:31:37+0000	0
35_0	152605961465739_1163792187013773	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-08-01T07:08:09+0000	1164106623648996	31f4f989c7b8c329d8648f16a78a2ea78054fd9c	0	"Que bonito es mi pueblo ."	2016-08-01T16:49:07+0000	0
46_0	152605961465739_1147145148678477	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Ana Puertas Lopez shared Ayuntamiento de Lobras (Granada) s post to the group: Lobreños del mundo."	2016-07-07T19:10:52+0000	1147180052008320	5f2ce636add4c4b45a9ae895fdd2cdef91262fe4	0	"Um abraço a todos os Lobrenhos."	2016-07-07T20:37:03+0000	1
46_1	152605961465739_1147145148678477	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Ana Puertas Lopez shared Ayuntamiento de Lobras (Granada) s post to the group: Lobreños del mundo."	2016-07-07T19:10:52+0000	1147185762007749	38aa15de627ec848163a33b05e9623707ccecd0b	0	"Otro abrazo para vosotros!!!"	2016-07-07T20:50:04+0000	0
46_2	152605961465739_1147145148678477	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Ana Puertas Lopez shared Ayuntamiento de Lobras (Granada) s post to the group: Lobreños del mundo."	2016-07-07T19:10:52+0000	1147926205267038	51e159591e3a1f6e7bd288be2c70d6198c933248	0	"Un cordial saludo para todos los lobreños- En las fiestas de San. Agustin nos volveremos aver."	2016-07-08T21:43:41+0000	1
50_0	152605961465739_1110524849007174	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-05-14T12:24:38+0000	1110531792339813	3745b8d6c63a202b4dd8e3ed3a29c2fa35dc1734	1	Gracias	2016-05-14T12:42:59+0000	0
50_1	152605961465739_1110524849007174	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-05-14T12:24:38+0000	1110528199006839	43d292aee4767ca0b495197f7ffeb9f6ecfa946c	0	"Que aproveche.....!!!"	2016-05-14T12:35:06+0000	1
50_2	152605961465739_1110524849007174	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-05-14T12:24:38+0000	1110545839005075	31f4f989c7b8c329d8648f16a78a2ea78054fd9c	0	"Buena pinta tiene."	2016-05-14T13:16:31+0000	1
51_0	152605961465739_1105361882856804	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Hola. Me gustaría saber si desde Granada hay omnibus o colectivos o bus a Lobras? a que hora salen en Granada? Mercedes Monteoliva de la Provincia de Córdoba- Argentina  quiere visitar Lobras el 31 de Mayo o 1 de junio. También quiere saber si estarán algunos de los familiares Barbero  Tarija o cualquier Monteoliva . El Huerto de Lobras esta abierto en esta época? Espero sus respuestas y ojala que Mercedes pueda llegar al pueblo donde nació su papá Francisco Monteoliva Ruiz"	2016-05-06T00:17:01+0000	1105425276183798	96d5a6f1b7ca726a820dbb926ab5b74f071451be	0	"Alex explícale tú más o menos, la alzina llega no?"	2016-05-06T02:49:01+0000	0
51_1	152605961465739_1105361882856804	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Hola. Me gustaría saber si desde Granada hay omnibus o colectivos o bus a Lobras? a que hora salen en Granada? Mercedes Monteoliva de la Provincia de Córdoba- Argentina  quiere visitar Lobras el 31 de Mayo o 1 de junio. También quiere saber si estarán algunos de los familiares Barbero  Tarija o cualquier Monteoliva . El Huerto de Lobras esta abierto en esta época? Espero sus respuestas y ojala que Mercedes pueda llegar al pueblo donde nació su papá Francisco Monteoliva Ruiz"	2016-05-06T00:17:01+0000	1105495052843487	239fa08b615c3af3f9dfbeffae5ef7c4b78bd618	0	"La hora de salida de la alsina es a las 8:30 y a las 17:00, la llegada a Lobras tendría que ir alguien a recogerte a la parada... Pero por aquí podrás estar en contacto y alguien irá a recogerte sin problema... Y allí es fácil que encuentres a familiares Monteoliva, Barbero o Tarifa... Un saludo"	2016-05-06T06:07:30+0000	0
51_2	152605961465739_1105361882856804	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Hola. Me gustaría saber si desde Granada hay omnibus o colectivos o bus a Lobras? a que hora salen en Granada? Mercedes Monteoliva de la Provincia de Córdoba- Argentina  quiere visitar Lobras el 31 de Mayo o 1 de junio. También quiere saber si estarán algunos de los familiares Barbero  Tarija o cualquier Monteoliva . El Huerto de Lobras esta abierto en esta época? Espero sus respuestas y ojala que Mercedes pueda llegar al pueblo donde nació su papá Francisco Monteoliva Ruiz"	2016-05-06T00:17:01+0000	1105515892841403	31f4f989c7b8c329d8648f16a78a2ea78054fd9c	0	"El huerto de lobras esta abierto todo el año.solo hay que hacer reserva ."	2016-05-06T07:10:18+0000	0
51_3	152605961465739_1105361882856804	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Hola. Me gustaría saber si desde Granada hay omnibus o colectivos o bus a Lobras? a que hora salen en Granada? Mercedes Monteoliva de la Provincia de Córdoba- Argentina  quiere visitar Lobras el 31 de Mayo o 1 de junio. También quiere saber si estarán algunos de los familiares Barbero  Tarija o cualquier Monteoliva . El Huerto de Lobras esta abierto en esta época? Espero sus respuestas y ojala que Mercedes pueda llegar al pueblo donde nació su papá Francisco Monteoliva Ruiz"	2016-05-06T00:17:01+0000	1105522639507395	1502fef2e534373a38fe7aaa32ee9c97892136af	0	"WWW.elhuertodelobras.con  teléfono 958768112  aquí se puede poner en contacto  .victoria si necesita algo mas"	2016-05-06T07:30:10+0000	1
51_4	152605961465739_1105361882856804	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Hola. Me gustaría saber si desde Granada hay omnibus o colectivos o bus a Lobras? a que hora salen en Granada? Mercedes Monteoliva de la Provincia de Córdoba- Argentina  quiere visitar Lobras el 31 de Mayo o 1 de junio. También quiere saber si estarán algunos de los familiares Barbero  Tarija o cualquier Monteoliva . El Huerto de Lobras esta abierto en esta época? Espero sus respuestas y ojala que Mercedes pueda llegar al pueblo donde nació su papá Francisco Monteoliva Ruiz"	2016-05-06T00:17:01+0000	1105523176174008	1502fef2e534373a38fe7aaa32ee9c97892136af	0	"Encantada trataré de ayudarla  un abrazo"	2016-05-06T07:32:37+0000	0
51_5	152605961465739_1105361882856804	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Hola. Me gustaría saber si desde Granada hay omnibus o colectivos o bus a Lobras? a que hora salen en Granada? Mercedes Monteoliva de la Provincia de Córdoba- Argentina  quiere visitar Lobras el 31 de Mayo o 1 de junio. También quiere saber si estarán algunos de los familiares Barbero  Tarija o cualquier Monteoliva . El Huerto de Lobras esta abierto en esta época? Espero sus respuestas y ojala que Mercedes pueda llegar al pueblo donde nació su papá Francisco Monteoliva Ruiz"	2016-05-06T00:17:01+0000	1106986526027673	d71e3091b4363a413e30e7e52ec9007ff0176014	1	"Qué bueno saber que El Huerto está abierto siempre. Si Dios nos acompaña, en septiembre iré con mi papá. Estuvimos viendo la página web. bellísimo. Gracias."	2016-05-08T13:21:03+0000	0
51_6	152605961465739_1105361882856804	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Hola. Me gustaría saber si desde Granada hay omnibus o colectivos o bus a Lobras? a que hora salen en Granada? Mercedes Monteoliva de la Provincia de Córdoba- Argentina  quiere visitar Lobras el 31 de Mayo o 1 de junio. También quiere saber si estarán algunos de los familiares Barbero  Tarija o cualquier Monteoliva . El Huerto de Lobras esta abierto en esta época? Espero sus respuestas y ojala que Mercedes pueda llegar al pueblo donde nació su papá Francisco Monteoliva Ruiz"	2016-05-06T00:17:01+0000	1106502432742749	d46e49b13326d40d7982fcf7898b9d9510cdab0d	0	"Buenas tardes.  El Huerto de Lobras está abierto , para vosostros ademas siempre esta abierto, Sí por aqui estan estas familias, cuando vengais decirlo para localizarlas y daros correo de ellos.  un saludo  Antonio Jimenez y Ana Rodriguez Gualda El huerto de Lobras"	2016-05-07T19:45:26+0000	0
51_7	152605961465739_1105361882856804	29cc1edd5aea801b3dd1bb549f122c9bb3660b79	"Hola. Me gustaría saber si desde Granada hay omnibus o colectivos o bus a Lobras? a que hora salen en Granada? Mercedes Monteoliva de la Provincia de Córdoba- Argentina  quiere visitar Lobras el 31 de Mayo o 1 de junio. También quiere saber si estarán algunos de los familiares Barbero  Tarija o cualquier Monteoliva . El Huerto de Lobras esta abierto en esta época? Espero sus respuestas y ojala que Mercedes pueda llegar al pueblo donde nació su papá Francisco Monteoliva Ruiz"	2016-05-06T00:17:01+0000	1106510279408631	8b7e8c1eadc4c8900561aa58e410a623f8ba7239	0	"Hola Victoria Monteoliva te han explicado muy bien, creo que solo faltaría facilitarte la página web con la información del bus que hace el trayecto desde Granada (estación de autobuses) a Lobras. Pueden comprarse los tickets desde la web, en la estación de autobuses o en el propio autobús.  De bien seguro Lobras la recibirá con los brazos abiertos, es el lugar más hospitalario del planeta :) ¡Buen viaje para Mercedes! https://www.alsa.es/checkout?p_auth=N1RN9u0H&p_p_id=PurchasePortlet_WAR_Alsaportlet&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=2&_PurchasePortlet_WAR_Alsaportlet_javax.portlet.action=searchJourneysAction&originForm=journeySearchForm&_JourneySearchPortlet_WAR_Alsaportlet_code=&serviceType=&accessible=0&originStationNameId=Granada&originStationId=9084&destinationStationNameId=Lobras+(E)&destinationStationId=5834&departureDate=31%2F05%2F2016&returnDate=&travelType=OUTWARD&passengerType-1=1&passengerType-2=0&passengerType-3=0&promoCode=&jsonAlsaPassPassenger="	2016-05-07T20:03:22+0000	1
54_0	152605961465739_1076318839094442	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-03-25T16:43:21+0000	1076590235733969	74890ad0e208a09278c773bb80d91f11fd0dc1dd	0	"Que hermoso y bien armado el Monumento de Lobras. Os felicito."	2016-03-25T22:55:54+0000	0
56_0	152605961465739_1072619929464333	29cc1edd5aea801b3dd1bb549f122c9bb3660b79		2016-03-22T11:22:26+0000	1072651589461167	31f4f989c7b8c329d8648f16a78a2ea78054fd9c	0	"Que bonita esta la iglesia .gracias pepe."	2016-03-22T12:12:38+0000	0
