type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
status	post_user_152605961465739	152605961465739_1429296740463315	https://www.facebook.com/152605961465739/posts/1429296740463315	"+información: www.rutaa348.com"					2017-04-18T08:42:33+0000	1492504953	"2017-04-18 10:42:33"	4	0	4	0	4	0	0	0	0	0	4	0	0	0	0	0	0
link	post_user_152605961465739	152605961465739_1411528782240111	https://www.facebook.com/152605961465739/posts/1411528782240111	"¡YA A LA VENTA!"	https://scontent.xx.fbcdn.net/v/t39.2147-6/c69.0.130.130/p130x130/17634091_582540398611989_5696728558513160192_n.jpg?oh=ccf77ea08b13ab54a63907bf1decacb8&oe=597A8C52	https://external.xx.fbcdn.net/safe_image.php?d=AQDizUFxplMqU564&url=fbstaging%3A%2F%2Fgraph.facebook.com%2Fstaging_resources%2FMDE1ODI1NDAzOTUyNzg2NTY6MzczMDI3NDI5&_nc_hash=AQBJ4Z-1tWhoeQVt	http://www.rutaa348.com/	rutaa348.com	2017-04-01T07:41:37+0000	1491032497	"2017-04-01 09:41:37"	2	0	3	0	3	0	0	0	0	0	2	1	0	0	0	0	0
photo	post_user_152605961465739	152605961465739_693550860704577	https://www.facebook.com/152605961465739/posts/693550860704577	"Alex Alvarez Monteoliva updated the group photo in Lobreños del mundo."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/1422514_10203124261484926_2570997720677273169_n.jpg?oh=680f289a216516f3095bf569bde66da1&oe=59B7E3D0	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/1422514_10203124261484926_2570997720677273169_n.jpg?oh=83dde1a0c655300adf32ee7a92ed8392&oe=5978B1AC	https://www.facebook.com/photo.php?fbid=10203124261484926&set=gm.693550860704577&type=3	facebook.com	2014-04-22T09:30:55+0000	1398159055	"2014-04-22 11:30:55"	52	10	52	6	68	10	10	0	4	0	51	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1408122169247439	https://www.facebook.com/152605961465739/posts/1408122169247439						2017-03-28T16:04:59+0000	1490717099	"2017-03-28 18:04:59"	4	0	4	0	4	0	0	0	0	0	4	0	0	0	0	0	0
photo	post_user_152605961465739	152605961465739_1397329056993417	https://www.facebook.com/152605961465739/posts/1397329056993417	"PRODUCTOS DE LA ALPUJARRA  Participa en el SORTEO de un Lote de Productos de la Alpujarra  Solo tienes que entrar y participar en el siguiente enlace:  http://www.latiendadelaalpujarra.com/encuesta-productos-alpujarra.html  www.latiendadelaalpujarra.com - La tienda de la Alpujarra​"	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/17264373_190606764765664_5273495984902307472_n.jpg?oh=b050863f1ca7c5ed9acec1cde70d60aa&oe=5977EA76	https://scontent.xx.fbcdn.net/v/t1.0-9/17264373_190606764765664_5273495984902307472_n.jpg?oh=fbe1591f89fadebbef2210090ff48557&oe=5988ADF8	https://www.facebook.com/latiendadelaalpujarra/photos/a.182276222265385.1073741828.120588511767490/190606764765664/?type=3	facebook.com	2017-03-17T12:26:48+0000	1489753608	"2017-03-17 13:26:48"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1389961927730130	https://www.facebook.com/152605961465739/posts/1389961927730130						2017-03-10T07:06:21+0000	1489129581	"2017-03-10 08:06:21"	10	0	10	1	11	0	0	0	0	0	10	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1388312817895041	https://www.facebook.com/152605961465739/posts/1388312817895041						2017-03-09T06:54:28+0000	1489042468	"2017-03-09 07:54:28"	7	0	7	0	7	0	0	0	0	0	7	0	0	0	0	0	0
photo	post_user_152605961465739	152605961465739_1368226753236981	https://www.facebook.com/152605961465739/posts/1368226753236981	"Buenos días!! Un poquito de Lobras ♥"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/16641014_1282244128523737_998526772209426107_n.jpg?oh=733731fbbece0f5c9683d78abcd78481&oe=59B74D9D	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/16641014_1282244128523737_998526772209426107_n.jpg?oh=fb0d2744ff11eb770e8f93a99fc4ba77&oe=59C2825C	https://www.facebook.com/photo.php?fbid=1282244128523737&set=gm.1368226753236981&type=3	facebook.com	2017-02-18T11:57:16+0000	1487419036	"2017-02-18 12:57:16"	8	0	9	0	9	0	0	0	0	0	8	1	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1354920641234259	https://www.facebook.com/152605961465739/posts/1354920641234259						2017-02-05T07:28:19+0000	1486279699	"2017-02-05 08:28:19"	6	1	6	0	7	1	1	0	0	0	6	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1363559210370402	https://www.facebook.com/152605961465739/posts/1363559210370402						2017-02-14T19:48:04+0000	1487101684	"2017-02-14 20:48:04"	5	0	5	0	5	0	0	0	0	0	5	0	0	0	0	0	0
