Source;Target
mauro_serafin;mercedesamgf1
mauro_serafin;scuderiaferrari
mauro_serafin;formulahumor
marcoasfalto;graftechweb
marcoasfalto;vettel_formel1
marcoasfalto;lovemaurizio
marcoasfalto;alessandrosala1
marcoasfalto;anto_giovinazzi
oz_f1_motogp;scuderiaferrari
oz_f1_motogp;f1
oz_f1_motogp;wtf1official
ed96webchannel;valtteribottas
ed96webchannel;lewishamilton
ed96webchannel;skysportf1hd
factuallmpala;wtf1official
zaharamossman;mercedesamgf1
zaharamossman;scuderiaferrari
zaharamossman;momentsau
zaharamossman;gianludale27
zaharamossman;f1
dburgersdijk;svandoorne
arradmanesh;oconesteban
arradmanesh;forceindiaf1
arradmanesh;f1
arradmanesh;sebvettelnews
arradmanesh;skysportsf1
1medders1;mercedesamgf1
1medders1;scuderiaferrari
1medders1;formulahumor
eko_sap56963457;pirellisport
eko_sap56963457;graftechweb
eko_sap56963457;vettel_formel1
eko_sap56963457;alessandrosala1
eko_sap56963457;lovemaurizio
thevijaymallya;oconesteban
thevijaymallya;forceindiaf1
thevijaymallya;f1
emma2kroby;suttonimages
emma2kroby;mercedesamgf1
emma2kroby;lewishamilton
1986juventus;1986juventus
1986juventus;motorsport_it
h3r3w3g03;fansofkr
h3r3w3g03;ausgrandprix
johnni47973385;mercedesamgf1
johnni47973385;scuderiaferrari
johnni47973385;momentsau
faqiherbara;f1
faqiherbara;ausgrandprix
faqiherbara;svandoorne
kplumel;renaultsportf1
kplumel;f1
kplumel;nico_rosberg
sarik31;mercedesamgf1
sarik31;scuderiaferrari
sarik31;formulahumor
scud3k_;scuderiaferrari
gremlins2012;oconesteban
gremlins2012;f1
gremlins2012;laf1surcanal
pimsterenberg;bah_int_circuit
pimsterenberg;ausgrandprix
pimsterenberg;f1
shel_hwds;mralexf1
shel_hwds;allthingsvettel
shel_hwds;sebvettelnews
fhollauf;f1_vettel
fhollauf;scuderiaferrari
fhollauf;f1
lzlark;ericsson_marcus
lzlark;sauberf1team
lzlark;tororossospy
lzlark;anto_giovinazzi
lzlark;f1
lzlark;mclarenf1
spinosoangelo;graftechweb
spinosoangelo;vettel_formel1
spinosoangelo;lovemaurizio
spinosoangelo;anto_giovinazzi
spinosoangelo;alessandrosala1
motorsport_it;motorsport_it
spinosoangelo;motorsport_it
simongbrooks;mclarenf1
mahmad4457;mercedesbenzmx
mahmad4457;mclarenf1
mahmad4457;valtteribottas
mahmad4457;lewishamilton
mahmad4457;mercedesamgf1
mahmad4457;scuderiaferrari
thomassenecal;scuderiaferrari
thomassenecal;laf1surcanal
lauraduracell;schecoperez
lauraduracell;laaficion
lauraduracell;pirellisport
mashiromartinez;suttonimages
dexpress_sport;dexpress_sport
