id;label;timeset;followed;followers;tweets;favorites;time zone
thevijaymallya;thevijaymallya;;214;5797553;8731;40;New Delhi
lewishamilton;lewishamilton;;734;4256846;4260;2140;London
podolski10;podolski10;;279;3224965;5994;1447;Amsterdam
skytg24;skytg24;;303;2772161;151913;138;Rome
f1;f1;;55;2649274;30544;900;London
alo_oficial;alo_oficial;;69;2447663;5131;89;Madrid
skysport;skysport;;1063;2212075;234194;4354;Rome
aztecadeportes;aztecadeportes;;791;2051857;185681;545;Mexico City
nico_rosberg;nico_rosberg;;2444;1919261;2416;525;Paris
supersporttv;supersporttv;;529;1763334;272578;662;Pretoria
mercedesamgf1;mercedesamgf1;;3849;1746658;68231;35773;London
schecoperez;schecoperez;;136;1689631;3215;72;Central Time (US & Canada)
redbullracing;redbullracing;;13975;1649456;13883;5351;London
scuderiaferrari;scuderiaferrari;;36;1636861;41432;967;Rome
mclarenf1;mclarenf1;;32429;1416431;22724;6208;London
massafelipe19;massafelipe19;;384;1062437;2122;89;Brasilia
danielricciardo;danielricciardo;;179;1054841;2135;346;
renaultsportf1;renaultsportf1;;2899;831766;54435;9494;London
skysportsf1;skysportsf1;;132;697794;37452;7977;London
williamsracing;williamsracing;;297;696845;28515;167;London
hulkhulkenberg;hulkhulkenberg;;45;631267;818;168;Bern
rtlde;rtlde;;3285;544579;13185;6106;Bern
forceindiaf1;forceindiaf1;;489;530293;29163;1995;London
sauberf1team;sauberf1team;;336;489528;17807;7179;Bern
max33verstappen;max33verstappen;;305;477225;1006;620;Belgrade
tororossospy;tororossospy;;641;446815;7086;4025;London
laaficion;laaficion;;95;364769;356205;32;Mexico City
valtteribottas;valtteribottas;;115;307765;2684;8012;London
carlossainz55;carlossainz55;;317;271182;6655;1367;Madrid
aztecaguate;aztecaguate;;507;258732;66978;12564;Central Time (US & Canada)
mercedesbenzmx;mercedesbenzmx;;497;190527;11861;5049;Mexico City
haasf1team;haasf1team;;213;175190;6212;2486;Eastern Time (US & Canada)
a3formula1;a3formula1;;277;128684;27441;20;
ericsson_marcus;ericsson_marcus;;173;123386;1733;105;
f1_vettel;f1_vettel;;3;120166;7456;0;London
kvyatofficial;kvyatofficial;;196;117047;2885;151;Greenland
f1latinamerica;f1latinamerica;;139;107629;10008;7163;
hondaracingf1;hondaracingf1;;127;101841;4616;4968;Dublin
pirellisport;pirellisport;;325;98188;9671;1716;Amsterdam
f1fanatic_co_uk;f1fanatic_co_uk;;1012;94640;78993;2084;London
motorsport;motorsport;;1979;94187;48021;1298;Eastern Time (US & Canada)
svandoorne;svandoorne;;282;89141;2918;644;Brussels
clarosports;clarosports;;467;85925;120927;14842;Mexico City
skysportf1hd;skysportf1hd;;401;80693;33617;1165;Amsterdam
beltramopaolo;beltramopaolo;;725;80667;17374;410;
momentses;momentses;;10;80623;13768;129;Mexico City
vettel_formel1;vettel_formel1;;754;76391;9563;2001;Amsterdam
noemidemiguel;noemidemiguel;;892;72410;28912;265;Madrid
c4f1;c4f1;;135;69578;10719;4359;London
sebvettelnews;sebvettelnews;;435;67127;26443;5027;Athens
telemetricof1;telemetricof1;;552;60647;19603;346;Buenos Aires
