Source;Target;weight
mauro_serafin;mercedesamgf1;1.0
mauro_serafin;scuderiaferrari;1.0
mauro_serafin;formulahumor;1.0
marcoasfalto;graftechweb;1.0
marcoasfalto;vettel_formel1;1.0
marcoasfalto;lovemaurizio;1.0
marcoasfalto;alessandrosala1;1.0
marcoasfalto;anto_giovinazzi;1.0
oz_f1_motogp;scuderiaferrari;1.0
oz_f1_motogp;f1;1.0
oz_f1_motogp;wtf1official;1.0
ed96webchannel;valtteribottas;1.0
ed96webchannel;lewishamilton;1.0
ed96webchannel;skysportf1hd;1.0
danielapili5;svandoorne;1.0
factuallmpala;wtf1official;1.0
zaharamossman;mercedesamgf1;1.0
zaharamossman;scuderiaferrari;1.0
zaharamossman;momentsau;1.0
zaharamossman;gianludale27;1.0
zaharamossman;f1;1.0
dburgersdijk;svandoorne;1.0
arradmanesh;oconesteban;1.0
arradmanesh;forceindiaf1;1.0
arradmanesh;f1;1.0
arradmanesh;sebvettelnews;1.0
arradmanesh;skysportsf1;1.0
1medders1;mercedesamgf1;1.0
1medders1;scuderiaferrari;1.0
1medders1;formulahumor;1.0
sftifosigr1;gianludale27;1.0
shwimp1138;f1;1.0
shwimp1138;oconesteban;1.0
shwimp1138;laf1surcanal;1.0
eko_sap56963457;pirellisport;1.0
eko_sap56963457;graftechweb;1.0
eko_sap56963457;vettel_formel1;1.0
eko_sap56963457;alessandrosala1;1.0
eko_sap56963457;lovemaurizio;1.0
michaelbobak;aussiegrit;1.0
michaelbobak;nico_rosberg;1.0
michaelbobak;rtlde;1.0
thevijaymallya;oconesteban;1.0
thevijaymallya;forceindiaf1;1.0
thevijaymallya;f1;1.0
jofairclough1;fia;1.0
jofairclough1;tororossospy;1.0
jofairclough1;ausgrandprix;1.0
jofairclough1;svandoorne;1.0
jofairclough1;channel4;1.0
jofairclough1;c4f1;1.0
ant_testa979;valtteribottas;1.0
ant_testa979;lewishamilton;1.0
ant_testa979;skysportf1hd;1.0
emma2kroby;suttonimages;1.0
emma2kroby;mercedesamgf1;1.0
emma2kroby;lewishamilton;1.0
randomdude1155;ausgrandprix;1.0
randomdude1155;f1;1.0
randomdude1155;skysportsf1;1.0
randomdude1155;scuderiaferrari;1.0
randomdude1155;kl_motorsport;1.0
svandoornefans;svandoorne;1.0
1986juventus;1986juventus;1.0
1986juventus;motorsport_it;1.0
h3r3w3g03;fansofkr;1.0
h3r3w3g03;iceman7news;1.0
h3r3w3g03;ausgrandprix;1.0
johnni47973385;mercedesamgf1;1.0
johnni47973385;scuderiaferrari;1.0
johnni47973385;momentsau;1.0
faqiherbara;f1;1.0
faqiherbara;ausgrandprix;1.0
faqiherbara;svandoorne;1.0
kplumel;renaultsportf1;1.0
kplumel;f1;1.0
kplumel;nico_rosberg;1.0
odamax41;channel4;1.0
odamax41;c4f1;1.0
sarik31;mercedesamgf1;1.0
sarik31;scuderiaferrari;1.0
sarik31;formulahumor;1.0
taitanikt;forceindiaf1;1.0
taitanikt;f1;1.0
taitanikt;scuderiaferrari;1.0
scud3k_;scuderiaferrari;1.0
mscfan91;scuderiaferrari;1.0
mscfan91;wtf1official;1.0
mscfan91;f1;1.0
gremlins2012;oconesteban;1.0
gremlins2012;f1;1.0
gremlins2012;laf1surcanal;1.0
pimsterenberg;bah_int_circuit;1.0
pimsterenberg;ausgrandprix;1.0
pimsterenberg;f1;1.0
shel_hwds;mralexf1;1.0
shel_hwds;allthingsvettel;1.0
shel_hwds;sebvettelnews;1.0
fhollauf;f1_vettel;1.0
fhollauf;scuderiaferrari;1.0
fhollauf;f1;1.0
lzlark;ericsson_marcus;1.0
lzlark;sauberf1team;1.0
lzlark;tororossospy;1.0
lzlark;anto_giovinazzi;1.0
lzlark;f1;1.0
lzlark;mclarenf1;1.0
spinosoangelo;graftechweb;1.0
spinosoangelo;vettel_formel1;1.0
spinosoangelo;lovemaurizio;1.0
spinosoangelo;anto_giovinazzi;1.0
spinosoangelo;alessandrosala1;1.0
motorsport_it;motorsport_it;1.0
spinosoangelo;motorsport_it;1.0
simongbrooks;mclarenf1;1.0
mahmad4457;mercedesbenzmx;1.0
mahmad4457;mclarenf1;1.0
mahmad4457;valtteribottas;1.0
mahmad4457;lewishamilton;1.0
mahmad4457;mercedesamgf1;1.0
mahmad4457;scuderiaferrari;1.0
thomassenecal;scuderiaferrari;1.0
thomassenecal;laf1surcanal;1.0
lauraduracell;schecoperez;1.0
lauraduracell;laaficion;1.0
lauraduracell;pirellisport;1.0
mashiromartinez;suttonimages;1.0
dexpress_sport;dexpress_sport;1.0
mashiromartinez;dexpress_sport;1.0
mashiromartinez;lewishamilton;1.0
mashiromartinez;sebvettelnews;1.0
mashiromartinez;scuderiaferrari;1.0
mashiromartinez;f1;1.0
fabiobusolo;valtteribottas;1.0
fabiobusolo;lewishamilton;1.0
fabiobusolo;skysportf1hd;1.0
fabiobusolo;scuderiaferrari;1.0
casulafede;casulafede;1.0
casulafede;scuderiaferrari;1.0
sinkoftears;formulahumor;1.0
sinkoftears;mercedesamgf1;1.0
sinkoftears;scuderiaferrari;1.0
anamariia_k;ausgrandprix;1.0
anamariia_k;f1;1.0
moey2612;mercedesamgf1;1.0
moey2612;momentsau;1.0
moey2612;scuderiaferrari;1.0
bbcsport;bbcsport;1.0
giova_s_89;valtteribottas;1.0
giova_s_89;lewishamilton;1.0
giova_s_89;skysportf1hd;1.0
htswjgblues1;mercedesamgf1;1.0
camigl10;valtteribottas;1.0
camigl10;f1;1.0
paulkitto;channel4;1.0
paulkitto;aussiegrit;1.0
paulkitto;sebvettelnews;1.0
paulkitto;c4f1;1.0
kingkongtv;aztecaguate;1.0
kingkongtv;scuderiaferrari;1.0
kingkongtv;f1;1.0
ruizecheverria;scuderiaferrari;1.0
ruizecheverria;ruizecheverria;1.0
thomasmiles77;georgeyhowson95;1.0
thomasmiles77;alayzell20297;1.0
thomasmiles77;essaarmsport;1.0
thomasmiles77;_helenahicks;1.0
diabloesparza;valtteribottas;1.0
diabloesparza;f1;1.0
diabloesparza;mercedesamgf1;1.0
diabloesparza;scuderiaferrari;1.0
cec_thaina;suttonimages;1.0
cec_thaina;mercedesamgf1;1.0
cec_thaina;lewishamilton;1.0
saetta_mcqueen;skysportf1hd;1.0
saetta_mcqueen;scuderiaferrari;1.0
saetta_mcqueen;giulialabo;1.0
delavallee27;thomassenecal;1.0
delavallee27;valtteribottas;1.0
delavallee27;mercedesamgf1;1.0
_helenahicks;alayzell20297;1.0
_helenahicks;essaarmsport;1.0
nuzzl33man;nuzzl33man;1.0
nuzzl33man;f1;1.0
nuzzl33man;anto_giovinazzi;1.0
josephf198;bravofernandof1;1.0
alycienta_44;alycienta_44;1.0
alycienta_44;anto_giovinazzi;1.0
bellatmg;f1;1.0
bellatmg;max33verstappen;1.0
bellatmg;valtteribottas;1.0
rbeef81;valtteribottas;1.0
rbeef81;alo_oficial;1.0
rbeef81;danielricciardo;1.0
rbeef81;haasf1team;1.0
odaarksoul_;sebvettelnews;1.0
odaarksoul_;scuderiaferrari;1.0
odaarksoul_;f1;1.0
cconcep240;scuderiaferrari;1.0
cconcep240;f1;1.0
cconcep240;pirellisport;1.0
cconcep240;formulahumor;1.0
oxodox;f1;1.0
oxodox;oxodox;1.0
totalplayco;rtlde;1.0
totalplayco;f1;1.0
totalplayco;podolski10;1.0
ashdawson147;mercedesamgf1;1.0
ashdawson147;valtteribottas;1.0
ashdawson147;f1;1.0
ashdawson147;scuderiaferrari;1.0
benjami74285198;mattzel89;1.0
benjami74285198;f1writers;1.0
benjami74285198;suttonimages;1.0
acastillo1594;bravofernandof1;1.0
acastillo1594;mclarenf1;1.0
acastillo1594;soymotor;1.0
naz3em;valtteribottas;1.0
naz3em;mercedesamgf1;1.0
_dieciagosto;andersonlaura12;1.0
_dieciagosto;mattzel89;1.0
pangianpiter;sebvettelnews;1.0
federicolescano;soy_f1;1.0
dursti85;scuderiaferrari;1.0
dursti85;f1;1.0
kaikgrig;forceindiaf1;1.0
kaikgrig;kaikgrig;1.0
f1_girl_sv;mattzel89;1.0
laurent_bouchet;svandoorne;1.0
laurent_bouchet;oconesteban;1.0
laurent_bouchet;forceindiaf1;1.0
laurent_bouchet;f1;1.0
laurent_bouchet;laf1surcanal;1.0
crf_marcoos;valtteribottas;1.0
crf_marcoos;lewishamilton;1.0
crf_marcoos;managerchampion;1.0
josemanuel_28;movistar_f1;1.0
josemanuel_28;noemidemiguel;1.0
josemanuel_28;pirellisport;1.0
renata55207670;mralexf1;1.0
renata55207670;sebvettelnews;1.0
renata55207670;allthingsvettel;1.0
realjohnyromero;rtlde;1.0
realjohnyromero;podolski10;1.0
realjohnyromero;f1;1.0
vitors2000;valtteribottas;1.0
vitors2000;lewishamilton;1.0
vitors2000;managerchampion;1.0
sadler08;scuderiaferrari;1.0
sadler08;mercedesamgf1;1.0
sadler08;valtteribottas;1.0
sadler08;c4f1;1.0
ajl_f1;essaargp;1.0
alayzell20297;essaargp;1.0
alayzell20297;ajl_f1;1.0
gummy_liz;scuderiaferrari;1.0
gummy_liz;f1;1.0
gummy_liz;sebvettelnews;1.0
gummy_liz;nico_rosberg;1.0
gucepeda;gnsolito;1.0
gucepeda;mercedesamgf1;1.0
gucepeda;scuderiaferrari;1.0
gucepeda;formulahumor;1.0
mathhscosta;valtteribottas;1.0
mathhscosta;lewishamilton;1.0
mathhscosta;managerchampion;1.0
mark_pomfret;valtteribottas;1.0
mark_pomfret;lewishamilton;1.0
mark_pomfret;f1;1.0
mark_pomfret;mercedesamgf1;1.0
kazuyaformula;gianludale27;1.0
kazuyaformula;hulkhulkenberg;1.0
kazuyaformula;renaultsportf1;1.0
kazuyaformula;scuderiaferrari;1.0
franckdeabreu;f1;1.0
franckdeabreu;max33verstappen;1.0
franckdeabreu;valtteribottas;1.0
franckdeabreu;mclarenf1;1.0
adrysns916;scuderiaferrari;1.0
adrysns916;f1;1.0
kendizzlex3;andersonlaura12;1.0
managerchampion;valtteribottas;1.0
managerchampion;lewishamilton;1.0
jb5estrelas;managerchampion;1.0
jb5estrelas;valtteribottas;1.0
jb5estrelas;lewishamilton;1.0
ferrariworld79;mercedesamgf1;1.0
ferrariworld79;scuderiaferrari;1.0
ferrariworld79;formulahumor;1.0
ispanico14;valtteribottas;1.0
ispanico14;lewishamilton;1.0
ispanico14;skysportf1hd;1.0
ispanico14;scuderiaferrari;1.0
moschettalucas;skysportsf1;1.0
moschettalucas;formula1fanzone;1.0
moschettalucas;scuderiaferrari;1.0
antomdcccxxi;mercedesamgf1;1.0
antomdcccxxi;scuderiaferrari;1.0
antomdcccxxi;formulahumor;1.0
thivsweety;danielricciardo;1.0
thivsweety;shanewarne;1.0
thivsweety;ausgrandprix;1.0
thivsweety;wtf1official;1.0
tindelcristhian;f1_paraguay;1.0
tindelcristhian;forof1paraguay;1.0
tindelcristhian;f1;1.0
tindelcristhian;mclarenf1;1.0
jaymilee_;c4f1;1.0
jaymilee_;ausgrandprix;1.0
jaymilee_;f1;1.0
nicoleninaf1;wtf1official;1.0
nicoleninaf1;mclarenf1;1.0
nicoleninaf1;hondaracingf1;1.0
nicoleninaf1;svandoorne;1.0
nicoleninaf1;alo_oficial;1.0
nicoleninaf1;f1;1.0
nicoleninaf1;ausgrandprix;1.0
abaza738;scuderiaferrari;1.0
abaza738;elierizkf1;1.0
ss_may5;shanewarne;1.0
ss_may5;danielricciardo;1.0
ss_may5;ausgrandprix;1.0
ss_may5;redbullracing;1.0
ss_may5;f1;1.0
ss_may5;sebvettelnews;1.0
ss_may5;gianludale27;1.0
elegbete1;mercedesamgf1;1.0
ferrarinelcuore;maui27575;1.0
ferrarinelcuore;formulahumor;1.0
72kareem;svandoorne;1.0
72kareem;mclarenf1;1.0
72kareem;andersonlaura12;1.0
rvmaarseveen;redbullracing;1.0
rvmaarseveen;max33verstappen;1.0
rvmaarseveen;f1;1.0
clarosports;clarosports;1.0
luxuschrono;f1;1.0
luxuschrono;forceindiaf1;1.0
luxuschrono;mercedesamgf1;1.0
luxuschrono;nico_rosberg;1.0
fc3srx7rx7;sebvettelnews;1.0
fc3srx7rx7;f1gate;1.0
fc3srx7rx7;scuderiaferrari;1.0
fc3srx7rx7;f1;1.0
jamirocali;mercedesamgf1;1.0
jamirocali;scuderiaferrari;1.0
jamirocali;formulahumor;1.0
william50386522;mercedesamgf1;1.0
william50386522;valtteribottas;1.0
california458;forceindiaf1;1.0
california458;alo_oficial;1.0
california458;f1;1.0
california458;oconesteban;1.0
pieroladisa;pieroladisa;1.0
eli_valli;oconesteban;1.0
eli_valli;forceindiaf1;1.0
eli_valli;f1;1.0
mjeedalhidan;scuderiaferrari;1.0
mjeedalhidan;f1;1.0
mjeedalhidan;wtf1official;1.0
stevestevens47;haasf1team;1.0
stevestevens47;paddylowe;1.0
stevestevens47;stevestevens47;1.0
stevestevens47;sauberf1team;1.0
stevestevens47;ericsson_marcus;1.0
stevestevens47;anto_giovinazzi;1.0
stevestevens47;renaultsportf1;1.0
stevestevens47;hulkhulkenberg;1.0
stevestevens47;ausgrandprix;1.0
stevestevens47;kvyatofficial;1.0
stevestevens47;carlossainz55;1.0
stevestevens47;tororossospy;1.0
stevestevens47;mclarenf1;1.0
stevestevens47;svandoorne;1.0
stevestevens47;williamsracing;1.0
