id;label;timeset;followed;followers;tweets;favorites;time zone;modularity_class
youtube;youtube;;997;67378849;19235;1590;Pacific Time (US & Canada);0
natgeo;natgeo;;18;16377589;36125;1732;Eastern Time (US & Canada);0
cnnee;cnnee;;797;15062594;102525;1283;Eastern Time (US & Canada);0
carmeloanthony;carmeloanthony;;301;8861548;2698;31;Mountain Time (US & Canada);0
bbcsport;bbcsport;;262;6592670;261762;156;Hawaii;4
thevijaymallya;thevijaymallya;;214;5797553;8731;40;New Delhi;5
skysportsnewshq;skysportsnewshq;;126;5207738;63222;281;London;0
bts_twt;bts_twt;;78;4852207;9666;47;Irkutsk;0
marca;marca;;1586;4536143;244898;951;Madrid;0
lewishamilton;lewishamilton;;734;4258180;4260;2140;London;2
podolski10;podolski10;;279;3225021;5996;1457;Amsterdam;0
bts_bighit;bts_bighit;;18;3112173;6308;16;Seoul;0
shanewarne;shanewarne;;338;2940113;16558;10176;Melbourne;4
beinsports_mena;beinsports_mena;;205;2878761;60329;3924;Riyadh;0
skytg24;skytg24;;303;2772272;151920;138;Rome;2
jensonbutton;jensonbutton;;200;2724195;5653;38;Paris;0
f1;f1;;55;2651994;30557;900;London;0
repubblica;repubblica;;252;2623976;333662;29;Rome;0
alo_oficial;alo_oficial;;69;2447878;5133;89;Madrid;2
beppe_grillo;beppe_grillo;;369;2323181;73162;172;Rome;0
reforma;reforma;;56;2289864;255306;254;Mexico City;0
mundodeportivo;mundodeportivo;;971;2271756;216307;1131;Madrid;0
diarioas;diarioas;;1041;2241083;210250;10086;Madrid;0
skysport;skysport;;1063;2212118;234210;4354;Rome;5
aztecadeportes;aztecadeportes;;791;2051905;185685;545;Mexico City;3
motogp;motogp;;537;2033004;37157;2086;Madrid;0
nico_rosberg;nico_rosberg;;2444;1920546;2416;525;Paris;1
lajornadaonline;lajornadaonline;;163;1818855;151847;137;Mexico City;0
supersporttv;supersporttv;;529;1763334;272578;662;Pretoria;0
