Source,Target,Type,id,label,timeset,weight
mauro_serafin,mercedesamgf1,Directed,10,,,1.0
mauro_serafin,scuderiaferrari,Directed,11,,,1.0
mauro_serafin,formulahumor,Directed,12,,,1.0
marcoasfalto,graftechweb,Directed,26,,,1.0
marcoasfalto,vettel_formel1,Directed,27,,,1.0
marcoasfalto,lovemaurizio,Directed,28,,,1.0
marcoasfalto,alessandrosala1,Directed,29,,,1.0
marcoasfalto,anto_giovinazzi,Directed,30,,,1.0
oz_f1_motogp,scuderiaferrari,Directed,31,,,1.0
oz_f1_motogp,f1,Directed,32,,,1.0
oz_f1_motogp,wtf1official,Directed,33,,,1.0
ed96webchannel,valtteribottas,Directed,52,,,1.0
ed96webchannel,lewishamilton,Directed,53,,,1.0
ed96webchannel,skysportf1hd,Directed,54,,,1.0
danielapili5,svandoorne,Directed,56,,,1.0
factuallmpala,wtf1official,Directed,71,,,1.0
zaharamossman,mercedesamgf1,Directed,78,,,1.0
zaharamossman,scuderiaferrari,Directed,79,,,1.0
zaharamossman,momentsau,Directed,80,,,1.0
zaharamossman,gianludale27,Directed,81,,,1.0
zaharamossman,f1,Directed,82,,,1.0
dburgersdijk,svandoorne,Directed,87,,,1.0
arradmanesh,oconesteban,Directed,92,,,1.0
arradmanesh,forceindiaf1,Directed,93,,,1.0
arradmanesh,f1,Directed,94,,,1.0
arradmanesh,sebvettelnews,Directed,95,,,1.0
arradmanesh,skysportsf1,Directed,96,,,1.0
1medders1,mercedesamgf1,Directed,123,,,1.0
1medders1,scuderiaferrari,Directed,124,,,1.0
1medders1,formulahumor,Directed,125,,,1.0
sftifosigr1,gianludale27,Directed,149,,,1.0
shwimp1138,f1,Directed,162,,,1.0
shwimp1138,oconesteban,Directed,163,,,1.0
shwimp1138,laf1surcanal,Directed,164,,,1.0
eko_sap56963457,pirellisport,Directed,173,,,1.0
eko_sap56963457,graftechweb,Directed,174,,,1.0
eko_sap56963457,vettel_formel1,Directed,175,,,1.0
eko_sap56963457,alessandrosala1,Directed,176,,,1.0
eko_sap56963457,lovemaurizio,Directed,177,,,1.0
michaelbobak,aussiegrit,Directed,201,,,1.0
michaelbobak,nico_rosberg,Directed,203,,,1.0
michaelbobak,rtlde,Directed,204,,,1.0
thevijaymallya,oconesteban,Directed,208,,,1.0
thevijaymallya,forceindiaf1,Directed,209,,,1.0
thevijaymallya,f1,Directed,210,,,1.0
jofairclough1,fia,Directed,227,,,1.0
jofairclough1,tororossospy,Directed,228,,,1.0
jofairclough1,ausgrandprix,Directed,229,,,1.0
jofairclough1,svandoorne,Directed,230,,,1.0
jofairclough1,channel4,Directed,231,,,1.0
jofairclough1,c4f1,Directed,232,,,1.0
ant_testa979,valtteribottas,Directed,241,,,1.0
ant_testa979,lewishamilton,Directed,242,,,1.0
ant_testa979,skysportf1hd,Directed,243,,,1.0
emma2kroby,suttonimages,Directed,271,,,1.0
emma2kroby,mercedesamgf1,Directed,272,,,1.0
emma2kroby,lewishamilton,Directed,273,,,1.0
randomdude1155,ausgrandprix,Directed,280,,,1.0
randomdude1155,f1,Directed,281,,,1.0
randomdude1155,skysportsf1,Directed,282,,,1.0
randomdude1155,scuderiaferrari,Directed,283,,,1.0
randomdude1155,kl_motorsport,Directed,284,,,1.0
svandoornefans,svandoorne,Directed,290,,,1.0
1986juventus,1986juventus,Directed,297,,,1.0
1986juventus,motorsport_it,Directed,298,,,1.0
h3r3w3g03,fansofkr,Directed,306,,,1.0
