id,label,timeset,followed,followers,tweets,favorites,time zone,componentnumber,modularity_class,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,strongcompnum,pageranks,clustering,eigencentrality
bbcsport,bbcsport,,262,6592670,261762,156,Hawaii,0,4,2,1,3,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0046275933,0.0,0,0.005260359488579124,0.5,0.008331168368241708
thevijaymallya,thevijaymallya,,214,5797553,8731,40,New Delhi,0,5,0,3,3,0.0,3.0,3.0,2.0,0.8,0.875,0.0,0.0,0.036082633,5,7.349083140198683E-4,0.0,0.0
lewishamilton,lewishamilton,,734,4258180,4260,2140,London,0,2,86,0,86,86.0,0.0,86.0,0.0,0.0,0.0,0.0,0.17633735,0.0,6,0.023861798859429493,0.008207933977246284,0.4216057854621322
podolski10,podolski10,,279,3225021,5996,1457,Amsterdam,0,0,4,0,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0077001946,0.0,7,0.0014326111511823144,0.0,0.011769568163799335
shanewarne,shanewarne,,338,2940113,16558,10176,Melbourne,0,4,3,0,3,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.002985843,0.0,8,0.0011053305026199728,0.0,0.008827176122849502
skytg24,skytg24,,303,2772272,151920,138,Rome,0,2,4,0,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.010622343,0.0,9,0.0010929432794900126,0.0,0.012992760306970342
f1,f1,,55,2651994,30557,900,London,0,0,229,1,230,229.0,1.0,230.0,1.0,1.0,1.0,73.83333333333334,0.6040622,0.027435856,2,0.04255133582816723,0.0031327130272984505,0.7231904426105702
alo_oficial,alo_oficial,,69,2447878,5133,89,Madrid,0,2,17,0,17,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.022480784,0.0,10,0.0034823719543146756,0.0,0.052268551278980044
skysport,skysport,,1063,2212118,234210,4354,Rome,0,5,1,4,5,1.0,4.0,5.0,1.0,1.0,1.0,1.5,0.0013605342,0.010519454,14,9.431778176504492E-4,0.20000000298023224,0.0029423920409498336
aztecadeportes,aztecadeportes,,791,2051905,185685,545,Mexico City,0,3,5,2,7,5.0,2.0,7.0,1.0,1.0,1.0,0.0,0.012961392,0.055047724,15,0.0016721210803574823,0.261904776096344,0.014711960204749169
nico_rosberg,nico_rosberg,,2444,1920546,2416,525,Paris,0,1,14,0,14,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.029865999,0.0,16,0.0028130351443692984,0.0,0.04363987285963971
supersporttv,supersporttv,,529,1763334,272578,662,Pretoria,0,0,3,1,4,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.005053601,0.0,17,0.007648792052929842,0.3333333432674408,0.012496752552362555
mercedesamgf1,mercedesamgf1,,3849,1747424,68258,35822,London,0,2,127,3,130,127.0,3.0,130.0,1.0,1.0,1.0,142.0,0.31081745,0.019042263,19,0.030187020233156243,0.01471656933426857,0.5417927618358972
schecoperez,schecoperez,,136,1690086,3215,72,Central Time (US & Canada),0,7,9,0,9,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.009525509,0.0,20,0.004035112013051964,0.0416666679084301,0.035893907183460805
redbullracing,redbullracing,,13975,1650357,13893,5359,London,0,4,28,1,29,28.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0610484,0.0,21,0.028461201882694052,0.03703703731298447,0.11930507622179756
scuderiaferrari,scuderiaferrari,,36,1639239,41434,981,Rome,0,3,232,0,232,232.0,0.0,232.0,0.0,0.0,0.0,0.0,0.60021156,0.0,1,0.08362146250857301,0.0032654127571731806,1.0
mclarenf1,mclarenf1,,32429,1416886,22725,6207,London,0,0,22,0,22,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.05016526,0.0,22,0.003720213380321067,0.0,0.06840220133040922
aussiegrit,aussiegrit,,277,1278140,4447,1749,London,0,6,6,0,6,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.01507239,0.0,23,0.0015348525438736902,0.0,0.017654352245699004
massafelipe19,massafelipe19,,384,1062885,2124,89,Brasilia,0,5,9,0,9,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.026486067,0.0,24,0.0013252652895363807,0.0,0.027704720511719523
danielricciardo,danielricciardo,,179,1055712,2135,346,,0,4,27,0,27,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.059848297,0.0,11,0.007409733671893361,0.008547008968889713,0.12990938384446651
