Source,Target
furkyofficial,scuderiaferrari
furkyofficial,f1
corey_withers_,f1
haziq_escobar,haziq_escobar
itayntaaa,allthingsvettel
itayntaaa,sebvettelnews
pri_vell,svandoorne
drizzyaveli,5livesport
drizzyaveli,bbcsport
alfarizqi22,scuderiaferrari
alfarizqi22,f1
mauro_serafin,mercedesamgf1
mauro_serafin,scuderiaferrari
mauro_serafin,formulahumor
caradowkesx,bbcsport
sportsthirsty,scuderiaferrari
sportsthirsty,f1
javiermazeneth,scuderiaferrari
javiermazeneth,f1
beingzee1,beingzee1
anyulled,forceindiaf1
lucaodone,kikkobello
yuki911488,mclarenf1
kingmenga,f1
raguayor,andres_zahler
raguayor,aldolema_cl
dastanaezindagi,dastanaezindagi
marcoasfalto,graftechweb
marcoasfalto,vettel_formel1
marcoasfalto,lovemaurizio
marcoasfalto,alessandrosala1
marcoasfalto,anto_giovinazzi
marcoasfalto,alessandrosala1
oz_f1_motogp,scuderiaferrari
oz_f1_motogp,f1
oz_f1_motogp,wtf1official
oz_f1_motogp,wtf1official
gakyali_mabaga,allthingsvettel
gakyali_mabaga,sebvettelnews
lotienetodo,lotienetodo
spudacus12,bbcsport
desdelatribunaf,desdelatribunaf
mwasique,f1
kimitoku_07,scuderiaferrari
kimitoku_07,f1
scuderiarene,scuderiaferrari
trulyvettel,allthingsvettel
trulyvettel,sebvettelnews
senna1994may1,mclarenf1
limburg_news,scuderiaferrari
limburg_news,f1
stefanoam,scuderiaferrari
stefanoam,f1
siqsa,riley0317
jussihelin,f1
ed96webchannel,valtteribottas
ed96webchannel,lewishamilton
ed96webchannel,skysportf1hd
danielhumphrees,wtf1official
danielapili5,svandoorne
onyemapst,onyemapst
danielefattore9,auto_app
danielefattore9,scuderiaferrari
rumotorsport,rumotorsport
christo62704530,egesafmkenya
yaseensabi,scuderiaferrari
carlosainzinfo,carlossainz55
v36317,scuderiaferrari
v36317,scuderiaferrari
gianmariostella,scuderiaferrari
gianmariostella,scuderiaferrari
raulyeste,raulyeste
lavane027,mundodeportivo
_geo96,forceindiaf1
galeriot07,galeriot07
giveusmartian,c0n4n82
factuallmpala,wtf1official
factuallmpala,wtf1official
fergalf1,fergalf1
yus3883,yus3883
dannyshaw2002,dannyshaw2002
vmalpatel07,svandoorne
antocavani10,scuderiaferrari
antocavani10,scuderiaferrari
ginoinvasion,sebvettelnews
zaharamossman,mercedesamgf1
zaharamossman,scuderiaferrari
zaharamossman,momentsau
zaharamossman,gianludale27
zaharamossman,f1
yusef2011,nico_rosberg
emile_brand,f1
styrbjoernsson,scuderiaferrari
tomkeen_mobegi,tomkeen_mobegi
dburgersdijk,svandoorne
jaffo,jaffo
b_leffers,ziggosportf1
eirsport,eirsport
ezmil_fikry,ezmil_fikry
arradmanesh,oconesteban
arradmanesh,forceindiaf1
arradmanesh,f1
arradmanesh,sebvettelnews
arradmanesh,skysportsf1
valldeby,f1
harryharryshud,harryharryshud
akisakura11,skysportsf1
cuoreevelocita,cuoreevelocita
patapem77,scuderiaferrari
monica_arioli,sararealfonso
trends247,trends247
mario95,scuderiaferrari
mario95,f1
mattiagiovi,scuderiaferrari
thomascomerfor1,sebvettelnews
thomascomerfor1,f1
maxcorinzia,scuderiaferrari
mellinsky,scuderiaferrari
mellinsky,f1
__spl_,ausgrandprix
__spl_,f1
itkc2,ausgrandprix
itkc2,f1
theamerigo,sararealfonso
milkoh,gpupdate
milkoh,pirellisport
milkoh,pirellisport
peercys2,f1
peercys2,scuderiaferrari
lunaticlaire,f1
vejof1,gianludale27
1medders1,mercedesamgf1
1medders1,scuderiaferrari
1medders1,formulahumor
maxviper87,simply_formula
maxviper87,simply_formula
maxviper87,simply_formula
maxviper87,simply_formula
maxviper87,simply_formula
maxviper87,simply_formula
meloni_88,mattzel89
_ritacorreia,nico_rosberg
kikepuma,ausgrandprix
kikepuma,f1
lucanalin,f1
dammygooner,bbcsport
dammygooner,bbcsport
adrianostartrek,scuderiaferrari
r10setiawan,scuderiaferrari
adelegreen89,channel4
adelegreen89,c4f1
jokewaijer,ziggosportf1
streethawk70,scuderiaferrari
streethawk70,scuderiaferrari
streethawk70,scuderiaferrari
streethawk70,scuderiaferrari
ispysupercars,ispysupercars
amir_juice,sidfcgb
zwarte_adelaar,ausgrandprix
zwarte_adelaar,f1
elvicens,nico_rosberg
elvicens,f1writers
ruibpires,scuderiaferrari
wadidercho,wadidercho
forge2bar,scuderiaferrari
forge2bar,scuderiaferrari
lucygreeeen,lewishamilton
sftifosigr1,gianludale27
davidgladstone,f1
giusto_di,scuderiaferrari
singh_jetendra,singh_jetendra
en_french_coach,en_french_coach
ciccioetna,scuderiaferrari
rpo_sport,rpo_sport
_angelinos,_angelinos
cemil_imel,ibo_sport
andrewkabuura,f1
josephrobert_7,f1
skp0212,ausgrandprix
skp0212,f1
shwimp1138,f1
shwimp1138,oconesteban
shwimp1138,laf1surcanal
karenymey,bbcsport
oggini_,scuderiaferrari
oggini_,scuderiaferrari
rapidium936,ehfcl
federdoc,federdoc
yamatsu,ausgrandprix
yamatsu,f1
mc_smith22,scuderiaferrari
eko_sap56963457,marcoas
eko_sap56963457,pirellisport
eko_sap56963457,graftechweb
eko_sap56963457,vettel_formel1
eko_sap56963457,alessandrosala1
eko_sap56963457,graftechweb
eko_sap56963457,vettel_formel1
eko_sap56963457,lovemaurizio
eko_sap56963457,alessandrosala1
drjuniorneymar,drjuniorneymar
riazsharif,riazsharif
riazsharif,riazsharif
mikiharuna,svandoorne
marks359,wtf1official
monique0185,scuderiaferrari
monique0185,skysportf1hd
meulhin,sidfcgb
y_yuki75,ausgrandprix
y_yuki75,f1
lucitorres7298,a3formula1
victor_slukin,valtteribottas
victor_slukin,mercedesamgf1
fiqzlovatic13,scuderiaferrari
cristiano_besi,mralexf1
cristiano_besi,sebvettelnews
realsplusk,scuderiaferrari
pzeegers,aus_airforce
hmzrhmn,pirellisport
drivetribes,grandprixdiary
ducksandchucks,drivetribes
ducksandchucks,grandprixdiary
silverarrownr6,svandoorne
michaelbobak,kaiebel
michaelbobak,aussiegrit
michaelbobak,floriankoenig1
michaelbobak,floriankoenig1
michaelbobak,nico_rosberg
michaelbobak,rtlde
michaelbobak,nico_rosberg
chickendorukwom,kl_motorsport
irdou,f1
boydie2009_boyd,boydie2009_boyd
thevijaymallya,oconesteban
thevijaymallya,forceindiaf1
thevijaymallya,f1
thevijaymallya,oconesteban
thevijaymallya,forceindiaf1
dstefanovski,sebvettelnews
megan_rannard,bbcf1
erskinesam,5livesport
juanfernandodt,hechosdehoy
andre_laszlo,ausgrandprix
andre_laszlo,f1
mozzlin,f1
elecodiario,elecodiario
keegannd,scuderiaferrari
keegannd,scuderiaferrari
keegannd,scuderiaferrari
tantogodollo83,svandoorne
maaax46,maaax46
bertlongin,svandoorne
luis_marinho10,allthingsvettel
luis_marinho10,sebvettelnews
swdesign213,ausgrandprix
swdesign213,f1
jofairclough1,fia
jofairclough1,tororossospy
jofairclough1,ausgrandprix
jofairclough1,svandoorne
jofairclough1,channel4
jofairclough1,c4f1
dengash1,5livesport
dengash1,bbcsport
cpt_patchy,f1
f1fanatic44,f1
f1fanatic44,f1
f1fanatic44,f1
f1fanatic44,ausgrandprix
tristanmarchent,scuderiaferrari
sebibaba88,allthingsvettel
sebibaba88,sebvettelnews
ant_testa979,valtteribottas
ant_testa979,lewishamilton
ant_testa979,skysportf1hd
eusousir,queridoseb
pearcetommy,bigsportgb
jedpayne3794,scuderiaferrari
luxundead,scuderiaferrari
7cantona87,skysportsnewshq
nathandantonio1,scuderiaferrari
laurennbaily,scuderiaferrari
laurennbaily,f1
laurennbaily,f1
laurennbaily,f1
rosplayvox,f1_vettel
rosplayvox,sebvettelnews
rosplayvox,ferrari
raffa46go,raffa46go
armandodilo,armandodilo
catcoffeebeat,ausgrandprix
catcoffeebeat,f1
olivianeri79,lottiluca
olivianeri79,scuderiaferrari
tweenkapy,queridoseb
filipfritz1,ausgrandprix
filipfritz1,f1
naughtymonster1,gianludale27
kevin_d_i,massafelipe19
kevin_d_i,williamsracing
purestorageuk,purepitwall
maverick_pulkit,f1
delusionalmilly,fiftybuckss
delusionalmilly,pyepar
emma2kroby,suttonimages
emma2kroby,mercedesamgf1
emma2kroby,lewishamilton
memyliverpool,eintracht_eng
memyliverpool,f1
t2beschadigunc,gianludale27
fw362,shin14_dr3
vettelizer,svandoorne
captainfran97,scuderiaferrari
captainfran97,scuderiaferrari
captainfran97,scuderiaferrari
randomdude1155,ausgrandprix
randomdude1155,f1
randomdude1155,skysportsf1
randomdude1155,scuderiaferrari
randomdude1155,kl_motorsport
randomdude1155,kl_motorsport
guille_moreno_3,bravofernandof1
trendsinbritain,trendsinbritain
fff_lisa,wtf1official
hondawesselink,svandoorne
vincejfc,f1
svandoornefans,svandoorne
chandonworlds,mclarenf1
apnabanker,apnabanker
apnabanker,apnabanker
apnabanker,apnabanker
apnabanker,apnabanker
apnabanker,apnabanker
apnabanker,apnabanker
thedavenichols,scuderiaferrari
jprentice8,pitcrew_online
mikegr74,johnnyherbertf1
filipsutic,lukasz_lh44fan
1986juventus,1986juventus
1986juventus,motorsport_it
f1_ds16,f1_ds16
quinteiros,bbcsport
teamhulkenberg,f1
purestoragede,purepitwall
rubenvicente,wtf1official
rubenvicente,wtf1official
rubenvicente,wtf1official
christophes81,alfa_romeo
christophes81,scuderiaferrari
h3r3w3g03,fansofkr
h3r3w3g03,iceman7news
h3r3w3g03,ausgrandprix
carlosrf88,deporteslasexta
carlosrf88,deporteslasexta
johnni47973385,mercedesamgf1
johnni47973385,scuderiaferrari
johnni47973385,momentsau
totalracinggr,totalracinggr
aletznmc8,sebvettelnews
faqiherbara,f1
faqiherbara,ausgrandprix
faqiherbara,f1
faqiherbara,svandoorne
kplumel,renaultsportf1
kplumel,renaultsportf1
kplumel,renaultsportf1
kplumel,f1
kplumel,nico_rosberg
vituzzo_zuccone,giannimacheda
vituzzo_zuccone,soppressatira
vituzzo_zuccone,beppe_grillo
vituzzo_zuccone,slavina6
motorsportjp,motorsportjp
lolw8809,sebvettelnews
lolw8809,gianludale27
melissadee7,sebvettelnews
soulmatewoman,soulmatewoman
odamax41,channel4
odamax41,c4f1
andrea__xyz,f1
reli_laxxy,mwal
reli_laxxy,kwarobo
reli_laxxy,greenbeltmovmnt
reli_laxxy,asunza
raccs,mwal
raccs,kwarobo
raccs,greenbeltmovmnt
raccs,asunza
shiks_baibe,mwal
shiks_baibe,kwarobo
shiks_baibe,greenbeltmovmnt
shiks_baibe,asunza
tm_acy,mwal
tm_acy,kwarobo
tm_acy,greenbeltmovmnt
tm_acy,asunza
shiku_kamum,mwal
shiku_kamum,kwarobo
shiku_kamum,greenbeltmovmnt
shiku_kamum,asunza
danns_obari,mwal
danns_obari,kwarobo
danns_obari,greenbeltmovmnt
danns_obari,asunza
vanesah_s,mwal
vanesah_s,kwarobo
vanesah_s,greenbeltmovmnt
vanesah_s,asunza
ujingake,mwal
ujingake,kwarobo
ujingake,greenbeltmovmnt
ujingake,asunza
w_ill254,mwal
w_ill254,kwarobo
w_ill254,greenbeltmovmnt
w_ill254,asunza
voooodooopriest,mwal
voooodooopriest,kwarobo
voooodooopriest,greenbeltmovmnt
voooodooopriest,asunza
lallo46,scuderiaferrari
lallo46,skysportf1hd
agruen_,agruen_
halka_now_faker,ausgrandprix
halka_now_faker,f1
mrjamesrowe,ausgrandprix
mrjamesrowe,f1
noticiascarlos,noticiascarlos
sarik31,mercedesamgf1
sarik31,scuderiaferrari
sarik31,formulahumor
vitop1982,gnsolito
abdulaziso,abdulaziso
carlomrtz,pirellisport
awizul,awizul
samuele_panzeri,pirellisport
noxykitten,dannyodwyer
carl_w_ford,alo_oficial
rizwaughn,rizwaughn
pearloysias,pearloysias
mmahir01,f1
taitanikt,forceindiaf1
taitanikt,f1
taitanikt,scuderiaferrari
nathanisherwood,f1
sugikonen,f1
matthewc_17,ausgrandprix
matthewc_17,f1
scud3k_,scuderiaferrari
scud3k_,scuderiaferrari
fabbri_ale,mara_sangiorgio
fabbri_ale,nerys__
fabbri_ale,dreaminhogwarts
melif1,sebvettelnews
smoothino,vikyborgomeo
smoothino,vikyborgomeo
smoothino,vikyborgomeo
mhammadalio,mclarenf1
mattiamaestri46,mattiamaestri46
nuttsosure,f1
alanilmagi,scuderiaferrari
alanilmagi,f1
msbunibun,gianludale27
envck,nico_rosberg
rombe__,shabikisport
tsukag19,f1
tsukag19,scuderiaferrari
evansjamie_,skysportsf1
mscfan91,scuderiaferrari
mscfan91,wtf1official
mscfan91,f1
saffroel,ausgrandprix
saffroel,f1
stardast_boy,svandoorne
hideki828vettel,f1
geoburlos,keranm
geoburlos,channel9
geoburlos,v8x_magazine
slava_kun,sebvettelnews
krzysiekgoldyn,kl_motorsport
nvpuri47,nvpuri47
gremlins2012,oconesteban
gremlins2012,f1
