Id,Label,Followed,Followers,Tweets,Favorites,Time Zone
thevijaymallya,thevijaymallya,214,5797553,8731,40,New Delhi
marca,marca,1586,4535956,244885,951,Madrid
lewishamilton,lewishamilton,734,4256846,4260,2140,London
podolski10,podolski10,279,3224965,5994,1447,Amsterdam
bts_bighit,bts_bighit,18,3112173,6308,16,Seoul
shanewarne,shanewarne,338,2939998,16558,10176,Melbourne
beinsports_mena,beinsports_mena,205,2878761,60329,3924,Riyadh
skytg24,skytg24,303,2772161,151913,138,Rome
jensonbutton,jensonbutton,200,2724090,5653,38,Paris
f1,f1,55,2649274,30544,900,London
repubblica,repubblica,252,2623894,333615,29,Rome
alo_oficial,alo_oficial,69,2447663,5131,89,Madrid
beppe_grillo,beppe_grillo,369,2322899,73172,172,Rome
reforma,reforma,56,2289864,255306,254,Mexico City
mundodeportivo,mundodeportivo,971,2271756,216307,1131,Madrid
diarioas,diarioas,1041,2241083,210250,10086,Madrid
skysport,skysport,1063,2212075,234194,4354,Rome
aztecadeportes,aztecadeportes,791,2051857,185681,545,Mexico City
motogp,motogp,537,2031762,37130,2084,Madrid
nico_rosberg,nico_rosberg,2444,1919261,2416,525,Paris
lajornadaonline,lajornadaonline,163,1818855,151847,137,Mexico City
supersporttv,supersporttv,529,1763334,272578,662,Pretoria
bighitent,bighitent,16,1752495,4196,6,Seoul
mercedesamgf1,mercedesamgf1,3849,1746658,68231,35773,London
schecoperez,schecoperez,136,1689631,3215,72,Central Time (US & Canada)
redbullracing,redbullracing,13975,1649456,13883,5351,London
firstpost,firstpost,925,1646548,387073,252,Mumbai
scuderiaferrari,scuderiaferrari,36,1636861,41432,967,Rome
clamarchisio8,clamarchisio8,392,1446453,3343,11188,
americanair,americanair,91820,1418715,1619317,4520,Central Time (US & Canada)
mclarenf1,mclarenf1,32429,1416431,22724,6208,London
telesurtv,telesurtv,271,1389810,878758,628,Caracas
foxsportsarg,foxsportsarg,130,1323527,115913,34,Buenos Aires
aussiegrit,aussiegrit,277,1277943,4447,1749,London
foxsportsmx,foxsportsmx,162,1157765,219955,2772,Mexico City
record_mexico,record_mexico,343,1134632,418260,1136,Mexico City
eurosport_fr,eurosport_fr,1737,1129225,74699,233,Paris
massafelipe19,massafelipe19,384,1062437,2122,89,Brasilia
danielricciardo,danielricciardo,179,1054841,2135,346,
emisorasunidas,emisorasunidas,71,976817,354273,1656,Central America
raiders,raiders,444,974357,45616,2330,Pacific Time (US & Canada)
gettyimages,gettyimages,2051,900285,11118,2171,Pacific Time (US & Canada)
elchiringuitotv,elchiringuitotv,69,898672,281131,8594,Madrid
channel4,channel4,8923,844592,37349,3905,London
renaultsportf1,renaultsportf1,2899,831766,54435,9494,London
eruviel_avila,eruviel_avila,7771,809609,18944,126,Mexico City
koenaclothing,koenaclothing,12164,801353,11920,799,Greenland
ttdehoy,ttdehoy,235,783369,7799,182166,Mexico City
theage,theage,1141,770276,77714,400,Melbourne
oasis,oasis,5,754192,1199,46,London
skysportsf1,skysportsf1,132,697794,37452,7977,London
williamsracing,williamsracing,297,696845,28515,167,London
rgrosjean,rgrosjean,224,681909,3103,781,Paris
afl,afl,10178,678224,88354,4022,Melbourne
mercedesamg,mercedesamg,265,673957,6122,922,Eastern Time (US & Canada)
hulkhulkenberg,hulkhulkenberg,45,631267,818,168,Bern
bbc5live,bbc5live,18632,603195,89444,1173,London
sportsnet,sportsnet,220,601336,150236,636,Eastern Time (US & Canada)
zdfsport,zdfsport,1506,588109,43035,3511,Bern
therealdcf1,therealdcf1,324,570806,2760,466,
beinsports,beinsports,194,562779,48745,2948,Riyadh
mbrundlef1,mbrundlef1,197,562748,4141,31,London
rtlde,rtlde,3285,544579,13185,6106,Bern
rtl1025,rtl1025,480,542069,39147,2960,Rome
tvcdeportes,tvcdeportes,346,538048,116499,2214,Mexico City
agenciatelam,agenciatelam,99,532294,203651,9,Buenos Aires
forceindiaf1,forceindiaf1,489,530293,29163,1995,London
club_queretaro,club_queretaro,266,527056,30855,1605,Mexico City
hublot,hublot,175,490257,6750,467,Bern
sauberf1team,sauberf1team,336,489528,17807,7179,Bern
max33verstappen,max33verstappen,305,477225,1006,620,Belgrade
elperiodico,elperiodico,18907,468279,283641,144,Madrid
tororossospy,tororossospy,641,446815,7086,4025,London
raiplay,raiplay,333,436267,38245,1642,Rome
